# 41556,0.30586246,0.35192886,0.7659334,0.84421384,School
04234	0.31610352	0.7933451	East Wilton	0
04236	0.3186574	0.7862835	Greene	1
04238	0.3156511	0.78610265	Hebron	2
04239	0.3161429	0.79197586	Jay	3
04240	0.3187512	0.7844312	Lewiston	14
04241	0.31738743	0.7860637	Lewiston	14
04243	0.31738743	0.7860637	Lewiston	14
04250	0.31982127	0.78376055	Lisbon	3
04252	0.32022366	0.78386307	Lisbon Falls	0
04253	0.3175209	0.78792536	Livermore	1
04254	0.31778783	0.7869961	Livermore Falls	0
04255	0.3108022	0.7879658	Locke Mills	0
04256	0.3175388	0.7839726	Mechanic Falls	1
04257	0.3123308	0.79144394	Mexico	3
04258	0.31641874	0.78487027	Minot	1
04259	0.32110006	0.7898692	Monmouth	3
04260	0.31773773	0.78198886	New Gloucester	5
04263	0.3181911	0.78801525	Leeds	1
04261	0.30586246	0.79184675	Newry	0
04262	0.31164324	0.8001976	North Jay	0
04265	0.31930766	0.7885324	North Monmouth	0
04266	0.31643757	0.7887244	North Turner	0
04267	0.31061	0.79089797	North Waterford	0
04268	0.31156623	0.7859771	Norway	3
04270	0.31375647	0.7866472	Oxford	2
04271	0.31396192	0.7863356	Paris	3
04274	0.3162765	0.7830379	Poland	4
04275	0.31061	0.79089797	Roxbury	0
04276	0.31108624	0.79025567	Rumford	3
04278	0.31260395	0.7880124	Rumford Center	0
04281	0.3122373	0.7874768	South Paris	0
04280	0.31907082	0.78525496	Sabattus	3
04282	0.31689036	0.7871696	Turner	4
04283	0.31738743	0.7860637	Turner Center	0
04284	0.31860116	0.7893611	Wayne	1
04285	0.31164324	0.8001976	Weld	0
04286	0.30898422	0.7874801	West Bethel	0
04287	0.3213389	0.78463125	Bowdoin	1
04288	0.31738743	0.7860637	West Minot	0
04289	0.31307065	0.7874764	West Paris	1
04290	0.31371325	0.79013526	Peru	1
04291	0.31554693	0.782717	West Poland	0
04292	0.31395984	0.78733003	Sumner	1
04294	0.31533372	0.7931558	Wilton	2
